cycle,step no,step name,temperature_col,c_rate,peak_dT/dV,voltage_at_peak
1,4,CCCV_Chg,T_1,0.1,32.382195039304605,3.3350216040736607
1,8,CCCV_Chg,T_1,0.2,40.110781693633974,3.3748119834437085
1,12,CCCV_Chg,T_1,0.3,34.508401478787476,3.3846690584070793
1,16,CCCV_Chg,T_1,0.4,45.76787894607681,3.384051204424779
1,20,CCCV_Chg,T_1,0.5,38.35694139558804,3.3941821983556015
1,2,CC_DChg,T_1,0.33,56.26673292892296,3.390644
1,6,CC_DChg,T_1,0.1,33.24387900652986,2.5141662499999997
1,10,CC_DChg,T_1,0.2,22.94838425916135,3.2547851517165003
1,14,CC_DChg,T_1,0.3,26.055581633234073,3.2151771669921874
1,18,CC_DChg,T_1,0.4,23.523299737341624,3.2150034053738317
1,22,CC_DChg,T_1,0.5,26.785731507807718,3.241352020689655
2,4,CCCV_Chg,T_1,0.1,34.69323713919444,3.3542856603325415
2,8,CCCV_Chg,T_1,0.2,59.35984972547671,3.3642319545454544
2,12,CCCV_Chg,T_1,0.3,27.775597074854538,3.355892975855131
2,16,CCCV_Chg,T_1,0.4,44.647204540793396,3.405487091954023
2,20,CCCV_Chg,T_1,0.5,47.712601132699916,3.4048042715105162
2,6,CC_DChg,T_1,0.1,54.74720936736789,3.2959491060928845
2,10,CC_DChg,T_1,0.2,26.423104761087025,3.244555041755432
2,14,CC_DChg,T_1,0.3,40.40074876424083,3.2249369829351533
2,18,CC_DChg,T_1,0.4,30.67084854348075,3.1752139494680853
2,22,CC_DChg,T_1,0.5,44.471194150477935,3.455964
3,4,CCCV_Chg,T_1,0.1,30.38908849084511,3.6500242260273974
3,8,CCCV_Chg,T_1,0.2,41.563923496455544,2.7244729999999997
3,12,CCCV_Chg,T_1,0.3,29.07764965429201,3.3847697509505705
3,16,CCCV_Chg,T_1,0.4,41.092971647586836,3.4055738448844886
3,20,CCCV_Chg,T_1,0.5,55.356739179845476,3.4048902977412734
3,6,CC_DChg,T_1,0.1,33.06076444017926,3.2748558958958958
3,10,CC_DChg,T_1,0.2,20.821780008518648,3.2354094357381746
3,14,CC_DChg,T_1,0.3,22.984849919532206,2.5148503333333334
3,18,CC_DChg,T_1,0.4,20.63216805784047,3.224616717213115
3,22,CC_DChg,T_1,0.5,31.775062745356006,3.3833415000000002
1,4,CCCV_Chg,T_2,0.1,33.70205683906115,2.845839
1,8,CCCV_Chg,T_2,0.2,40.221723627633324,3.3748119834437085
1,12,CCCV_Chg,T_2,0.3,32.10361978246099,3.3846690584070793
1,16,CCCV_Chg,T_2,0.4,44.95504290125677,3.384051204424779
1,20,CCCV_Chg,T_2,0.5,36.99758392015514,3.404914785330948
1,2,CC_DChg,T_2,0.33,50.49132996002167,3.390644
1,6,CC_DChg,T_2,0.1,34.98867281522903,3.264044017463618
1,10,CC_DChg,T_2,0.2,37.796298433532456,2.5150012
1,14,CC_DChg,T_2,0.3,26.627069372564087,3.2151771669921874
1,18,CC_DChg,T_2,0.4,26.743333488806776,3.264324633333333
1,22,CC_DChg,T_2,0.5,26.887418430764964,3.2360808809880237
2,4,CCCV_Chg,T_2,0.1,39.239176715215336,3.3542856603325415
2,8,CCCV_Chg,T_2,0.2,61.890018745416086,3.3642319545454544
2,12,CCCV_Chg,T_2,0.3,31.429476681164747,3.6500276932907347
2,16,CCCV_Chg,T_2,0.4,43.49546726559357,3.405487091954023
2,20,CCCV_Chg,T_2,0.5,48.01011431890433,3.4048042715105162
2,6,CC_DChg,T_2,0.1,58.768419142961264,3.2858964938608457
2,10,CC_DChg,T_2,0.2,34.537482041285365,3.244555041755432
2,14,CC_DChg,T_2,0.3,41.284395180611384,3.2249369829351533
2,18,CC_DChg,T_2,0.4,32.42646278676565,3.1752139494680853
2,22,CC_DChg,T_2,0.5,32.207013338548066,2.515701
3,4,CCCV_Chg,T_2,0.1,22.474221094071357,3.3761673586722414
3,8,CCCV_Chg,T_2,0.2,28.83491231528703,3.364280569391635
3,12,CCCV_Chg,T_2,0.3,27.68693130330363,3.3847697509505705
3,16,CCCV_Chg,T_2,0.4,42.69306968342028,3.4055738448844886
3,20,CCCV_Chg,T_2,0.5,56.07538753072282,3.4048902977412734
3,6,CC_DChg,T_2,0.1,35.25885771874846,3.2748558958958958
3,10,CC_DChg,T_2,0.2,115.30682165875827,3.501628
3,14,CC_DChg,T_2,0.3,21.847745300543643,3.225083363137255
3,18,CC_DChg,T_2,0.4,63.29825886132701,2.5067519999999996
3,22,CC_DChg,T_2,0.5,34.132880898977604,2.515412
1,4,CCCV_Chg,T_3,0.1,31.88809059495336,3.3350216040736607
1,8,CCCV_Chg,T_3,0.2,36.07407311569782,3.3748119834437085
1,12,CCCV_Chg,T_3,0.3,35.540422134815834,2.806519
1,16,CCCV_Chg,T_3,0.4,40.50063752833192,3.3947317783882784
1,20,CCCV_Chg,T_3,0.5,32.72506236876956,3.4143861103117503
1,2,CC_DChg,T_3,0.33,71.52715139446292,3.390644
1,6,CC_DChg,T_3,0.1,33.79473813288193,3.264044017463618
1,10,CC_DChg,T_3,0.2,39.4510114606479,3.482925
1,14,CC_DChg,T_3,0.3,22.975947057568813,2.5146904
1,18,CC_DChg,T_3,0.4,55.80025891010132,3.464872
1,22,CC_DChg,T_3,0.5,47.404506493329606,3.241352020689655
2,4,CCCV_Chg,T_3,0.1,38.84288555151571,3.3542856603325415
2,8,CCCV_Chg,T_3,0.2,59.209878663612514,3.3642319545454544
2,12,CCCV_Chg,T_3,0.3,95.15194861883822,2.785544
2,16,CCCV_Chg,T_3,0.4,36.59407932317095,3.405487091954023
2,20,CCCV_Chg,T_3,0.5,43.23191238561468,3.4152644694244603
2,6,CC_DChg,T_3,0.1,56.1928387953445,3.2858964938608457
2,10,CC_DChg,T_3,0.2,50.15590695187184,2.505834333333333
2,14,CC_DChg,T_3,0.3,40.22566620134767,3.2249369829351533
2,18,CC_DChg,T_3,0.4,35.068222614758625,2.51529325
2,22,CC_DChg,T_3,0.5,45.69141452264819,3.455964
3,4,CCCV_Chg,T_3,0.1,24.247782204414907,3.6500242260273974
3,8,CCCV_Chg,T_3,0.2,35.85511464607704,2.7244729999999997
3,12,CCCV_Chg,T_3,0.3,29.574300537552826,2.7961660000000004
3,16,CCCV_Chg,T_3,0.4,37.71923822852747,3.4055738448844886
3,20,CCCV_Chg,T_3,0.5,49.841761788371954,3.4048902977412734
3,6,CC_DChg,T_3,0.1,34.61640095903003,3.2748558958958958
3,10,CC_DChg,T_3,0.2,21.437921159589678,3.2354094357381746
3,14,CC_DChg,T_3,0.3,30.989092914796373,2.5148503333333334
3,18,CC_DChg,T_3,0.4,28.071950130697005,3.2642779696969697
3,22,CC_DChg,T_3,0.5,44.045563954162496,3.225138213036566
1,4,CCCV_Chg,T_4,0.1,61.16942380166094,3.650022556701031
1,8,CCCV_Chg,T_4,0.2,37.911216679309696,2.734901
1,12,CCCV_Chg,T_4,0.3,32.05791854589002,3.3846690584070793
1,16,CCCV_Chg,T_4,0.4,41.781243784705204,3.650028942408377
1,20,CCCV_Chg,T_4,0.5,41.532215877798876,3.65003361707989
1,2,CC_DChg,T_4,0.33,31.68353029663234,3.2746335238095234
1,6,CC_DChg,T_4,0.1,34.0093931116936,3.264044017463618
1,10,CC_DChg,T_4,0.2,20.45302170932173,2.824998933333333
1,14,CC_DChg,T_4,0.3,22.771454225286366,3.234645461452514
1,18,CC_DChg,T_4,0.4,31.632057877279557,3.3957365
1,22,CC_DChg,T_4,0.5,50.739182500216806,3.254263238095238
2,4,CCCV_Chg,T_4,0.1,39.73899905676928,3.3542856603325415
2,8,CCCV_Chg,T_4,0.2,78.82019015109191,3.650023171875
2,12,CCCV_Chg,T_4,0.3,31.907451482570636,2.83437375
2,16,CCCV_Chg,T_4,0.4,38.538886795787555,3.405487091954023
2,20,CCCV_Chg,T_4,0.5,43.26957774542278,3.4048042715105162
2,6,CC_DChg,T_4,0.1,56.64565634408139,3.2858964938608457
