cluster,cell_id,peak_dq_dv_P1,peak_dq_dv_P2,peak_dq_dv_P3,voltage_at_peak_P1,voltage_at_peak_P2,voltage_at_peak_P3,soh_at_peak_P1,soh_at_peak_P2,soh_at_peak_P3
3,RD_RateCapability_0001,9493.667572220696,3560.5511051401854,842.7856289119453,3.3157768929824507,3.317249349122805,3.282046743859653,61.92350537544693,62.562445452672485,7.89912929179735
4,RD_RateCapability_0003,8956.485194188106,3410.4053687045835,940.7062877437326,3.3162852578947315,3.31606806533575,3.277490922807021,62.61796065003416,62.633514337920026,7.371926860351492
4,RD_RateCapability_0004,10170.668455448633,3378.9863458161344,829.7991681244876,3.3188870929824503,3.315736917543857,3.2767256526315824,64.49941549735641,60.00456650034622,7.864661811678746
0,RD_RateCapability_0007,7811.630469447317,3369.4023097047934,679.8416248417835,3.318116943859644,3.318361329824559,3.2866145578947408,63.43561133208992,62.34449601773795,7.7211547554389695
4,RD_RateCapability_0011,9514.94509823193,2996.9123697364457,880.1583372660573,3.315565857894731,3.319198138596489,3.2771880947368452,62.70534479557898,63.60223006709257,7.593703174847091
3,RD_RateCapability_0012,8915.277292938503,3355.1779455336423,809.0846654484064,3.316383757894731,3.3193923543859625,3.276651512280705,63.07927643072069,65.32531214775378,7.987231213994327
3,RD_RateCapability_0025,10397.91142033881,3494.366346342013,890.316807154814,3.316172322807012,3.319609866666665,3.279982487719302,62.59512644382757,64.18553765515637,7.810944829998579
0,RD_RateCapability_0034,7488.517564540097,3084.015258444905,729.9405079120921,3.3194022105263112,3.314820807017542,3.2866292982456176,64.59691004041869,60.533511787588424,7.507300773100596
1,RD_RateCapability_0040,9556.267734709358,3278.4592308886076,838.734926915411,3.3099557070175387,3.3096834263157873,3.2715553754386,63.32440314441698,61.383032438308554,7.772084670738859
4,RD_RateCapability_0043,8482.571841374805,3345.7398367537357,849.063531833221,3.3167363140350825,3.3171929807017526,3.2814425543859684,63.571739652273926,61.16767616132339,7.457464170954619
4,RD_RateCapability_0046,8705.417565616666,3571.715217744552,847.0211485111093,3.3170002456140297,3.3196707719298217,3.274635456140354,63.60566759185278,63.522522991403385,7.619430835262273
0,RD_RateCapability_0049,9284.199830059433,4651.686250124056,720.2226627151686,3.3170417052631525,3.318809249122805,3.2842810140350918,63.31464063300029,63.297077889781725,7.678261600117996
2,RD_RateCapability_0050,12214.055675574718,6982.344680144347,908.9564282237628,3.3158413456140297,3.3340609947368374,3.2779505649122838,58.86149242969257,79.62405763165859,8.163658075068696
4,RD_RateCapability_0056,10249.320302346845,4194.816120326378,805.3219553339317,3.316332796491223,3.3167087614035062,3.2770216807017576,63.141779455816135,60.18436999554961,7.591674036992086
3,RD_RateCapability_0057,9476.951096563975,3505.363420782702,770.9597741181013,3.315715175438591,3.3180518421052607,3.279125603508775,61.991398652236605,66.03548571884396,8.274971696902387
1,RD_RateCapability_0065,8320.044703988906,3038.497144353799,868.8196897840803,3.312180542105258,3.3099145771929814,3.2750366315789505,63.29862526953909,58.80363073370492,7.478837068457259
1,RD_RateCapability_0074,9502.39085822694,3475.7940346590394,890.0655670316638,3.3143920789473635,3.3089854122806996,3.2741278877193016,64.7844237496786,59.46447219864724,7.623987987226779
1,RD_RateCapability_0078,9002.568169688482,3200.489482251638,829.6232779286241,3.309463505263153,3.307222628070174,3.272593673684214,63.557134790423284,59.416019282048914,7.58488192118004
3,RD_RateCapability_0080,9906.959016864665,4510.504542783284,777.7299126550314,3.3160800105263104,3.3186665017543837,3.279909414035091,63.1401418971179,65.53654802718442,7.757602648831665
4,RD_RateCapability_0087,8651.642710025637,3344.6891815226872,862.8982805149178,3.320466577192977,3.313854296491226,3.278512480701758,65.8341900768472,57.13541761733692,7.438680480875715
0,RD_RateCapability_0091,9841.195782664448,4093.6341010079914,699.9539392159653,3.315207019298241,3.3228533350877165,3.286480950877197,61.4077281161065,67.67261642343483,7.614091350433453
