cell_id,cycle no,step no,step name,c_rate,peak_dq_dv,voltage_at_peak,soh_at_peak,peak_label
RD_RateCapability_0001,1,6,CC_DChg,-0.1,19840.805147601015,3.297190473684189,85.24871627237115,P1
RD_RateCapability_0001,1,6,CC_DChg,-0.1,2865.3389830538244,3.2599273157894575,54.50128869993198,P2
RD_RateCapability_0001,1,10,CC_DChg,-0.2,12601.308261553278,3.2798219999999807,89.65011916560285,P1
RD_RateCapability_0001,1,10,CC_DChg,-0.2,2097.8983051110863,3.240695684210513,51.9266868956736,P2
RD_RateCapability_0001,1,14,CC_DChg,-0.3,9546.875000588581,3.2649407368420884,92.75053386078015,P1
RD_RateCapability_0001,1,14,CC_DChg,-0.3,1631.1864406782129,3.2264354736841994,52.25595553292444,P2
RD_RateCapability_0001,1,18,CC_DChg,-0.4,7183.048439940111,3.25313373684209,94.78612306374394,P1
RD_RateCapability_0001,1,18,CC_DChg,-0.4,1546.657334541627,3.2171126842105164,53.78082440841907,P2
RD_RateCapability_0001,1,22,CC_DChg,-0.5,6748.855932285476,3.241917789473671,94.78086485932292,P1
RD_RateCapability_0001,1,22,CC_DChg,-0.5,1467.8564307079378,3.2077598947368338,54.30024608709044,P2
RD_RateCapability_0001,1,4,CCCV_Chg,0.1,6818.3838051386965,3.3348054210526374,36.78262984194708,P1
RD_RateCapability_0001,1,4,CCCV_Chg,0.1,3856.8577188724553,3.382773842105271,81.16850790334553,P2
RD_RateCapability_0001,1,4,CCCV_Chg,0.1,910.9792626729255,3.2514317368421075,8.271856869898846,P3
RD_RateCapability_0001,1,8,CCCV_Chg,0.2,6349.947004593803,3.3531071052631645,33.67350179634102,P1
RD_RateCapability_0001,1,8,CCCV_Chg,0.2,2304.6262160829074,3.3896544736842187,67.37829780213791,P2
RD_RateCapability_0001,1,8,CCCV_Chg,0.2,911.1290322644891,3.2720176315789504,8.218057121514867,P3
RD_RateCapability_0001,1,12,CCCV_Chg,0.3,5566.748847938069,3.36704436842106,36.07210197321584,P1
RD_RateCapability_0001,1,12,CCCV_Chg,0.3,2041.6359446362342,3.402449631578956,67.6521437017003,P2
RD_RateCapability_0001,1,12,CCCV_Chg,0.3,815.2493187429716,3.2859548947368458,8.15837971116529,P3
RD_RateCapability_0001,1,16,CCCV_Chg,0.4,4650.830590271791,3.379775526315797,35.76739587814453,P1
RD_RateCapability_0001,1,16,CCCV_Chg,0.4,1815.6694096996084,3.4117544736842196,66.53165212468774,P2
RD_RateCapability_0001,1,16,CCCV_Chg,0.4,734.6811059905991,3.298686052631583,7.867767472341753,P3
RD_RateCapability_0001,1,20,CCCV_Chg,0.5,3680.0103080263484,3.3885883684210607,33.57949269116468,P1
RD_RateCapability_0001,1,20,CCCV_Chg,0.5,1655.7677806091763,3.421709421052641,66.9037596063274,P2
