file,step_type,points,auc_soc_vs_voltage_sag
RD_RateCapability_0001_adr_data,charge,253371,-6.188822928465275
RD_RateCapability_0001_adr_data,discharge,261441,7.425548004012812
RD_RateCapability_0003_adr_data,charge,255044,-6.148126820672792
RD_RateCapability_0003_adr_data,discharge,262763,7.110358398827419
RD_RateCapability_0004_adr_data,charge,254971,-5.787590018657584
RD_RateCapability_0004_adr_data,discharge,263488,6.825206873590929
RD_RateCapability_0007_adr_data,charge,247888,-7.119354462871838
RD_RateCapability_0007_adr_data,discharge,255302,7.647299185157106
RD_RateCapability_0011_adr_data,charge,255314,-6.0282696684516655
RD_RateCapability_0011_adr_data,discharge,263273,7.122301364966097
RD_RateCapability_0012_adr_data,charge,248200,-6.049874302573042
RD_RateCapability_0012_adr_data,discharge,255628,6.941876914903853
RD_RateCapability_0025_adr_data,charge,251685,-6.038894896059052
RD_RateCapability_0025_adr_data,discharge,259526,7.439318219241104
RD_RateCapability_0034_adr_data,charge,254733,-7.061444392135414
RD_RateCapability_0034_adr_data,discharge,260045,8.426337764093022
RD_RateCapability_0040_adr_data,charge,256099,-5.960892782257186
RD_RateCapability_0040_adr_data,discharge,260499,7.232263995379225
RD_RateCapability_0043_adr_data,charge,257311,-6.440899553405624
RD_RateCapability_0043_adr_data,discharge,265413,7.406138303558608
RD_RateCapability_0046_adr_data,charge,257013,-5.825573441364135
RD_RateCapability_0046_adr_data,discharge,265491,6.8334674186369195
RD_RateCapability_0049_adr_data,charge,249601,-6.532971986668043
RD_RateCapability_0049_adr_data,discharge,257380,7.548051336339313
RD_RateCapability_0050_adr_data,charge,245182,-6.0482689001033805
RD_RateCapability_0050_adr_data,discharge,253339,6.75877695389952
RD_RateCapability_0056_adr_data,charge,255705,-6.1473181750889285
RD_RateCapability_0056_adr_data,discharge,262810,7.207630999424085
RD_RateCapability_0057_adr_data,charge,244454,-6.039497524431801
RD_RateCapability_0057_adr_data,discharge,252217,7.14440208679898
RD_RateCapability_0065_adr_data,charge,257763,-6.437493364887702
RD_RateCapability_0065_adr_data,discharge,262447,7.121449470233224
RD_RateCapability_0074_adr_data,charge,258196,-6.286078094952103
RD_RateCapability_0074_adr_data,discharge,262661,7.082735152999751
RD_RateCapability_0078_adr_data,charge,257202,-6.173698742486401
RD_RateCapability_0078_adr_data,discharge,261667,7.37745957054747
RD_RateCapability_0080_adr_data,charge,250360,-6.1545545890372315
RD_RateCapability_0080_adr_data,discharge,257512,7.586150752462787
RD_RateCapability_0087_adr_data,charge,257578,-6.244146345256492
RD_RateCapability_0087_adr_data,discharge,266078,6.996535861663929
RD_RateCapability_0091_adr_data,charge,249558,-6.7802559467873085
RD_RateCapability_0091_adr_data,discharge,256578,7.943555752218087
